date,ltc,btc
28-Apr-13,4.35,134.21
29-Apr-13,4.38,144.54
30-Apr-13,4.3,139
1-May-13,3.8,116.99
2-May-13,3.37,105.21
3-May-13,3.04,97.75
4-May-13,3.48,112.5
5-May-13,3.59,115.91
6-May-13,3.37,112.3
7-May-13,3.33,111.5
8-May-13,3.41,113.57
9-May-13,3.42,112.67
10-May-13,3.44,117.2
11-May-13,3.35,115.24
12-May-13,3.27,115
13-May-13,3.28,117.98
14-May-13,2.82,111.5
15-May-13,2.94,114.22
16-May-13,2.92,118.76
17-May-13,3.19,123.02
18-May-13,3.29,123.5
19-May-13,3.3,121.99
20-May-13,3.18,122
21-May-13,3.09,122.88
22-May-13,3.12,123.89
23-May-13,3.18,126.7
24-May-13,3.18,133.2
25-May-13,3.12,131.98
26-May-13,3.25,133.48
27-May-13,3.1,129.75
28-May-13,3.09,129
29-May-13,3.1,132.3
30-May-13,2.97,128.8
31-May-13,2.96,129
1-Jun-13,2.83,129.3
2-Jun-13,2.73,122.29
3-Jun-13,2.73,122.22
4-Jun-13,2.87,121.42
5-Jun-13,2.86,121.65
6-Jun-13,2.75,118
7-Jun-13,2.6,111.5
8-Jun-13,2.56,108.3
9-Jun-13,2.38,100
10-Jun-13,2.49,106.35
11-Jun-13,2.4,108.9
12-Jun-13,2.38,108.15
13-Jun-13,2.27,104
14-Jun-13,2.13,99.98
15-Jun-13,2.11,99.99
16-Jun-13,2.13,99.51
17-Jun-13,2.28,101.7
18-Jun-13,2.31,107.4
19-Jun-13,2.3,108.25
20-Jun-13,2.29,110.15
21-Jun-13,2.87,109.5
22-Jun-13,2.92,108.3
23-Jun-13,3.12,107.6
24-Jun-13,2.87,102.74
25-Jun-13,2.82,103.95
26-Jun-13,2.86,104
27-Jun-13,3.02,101.44
28-Jun-13,2.75,94.65
29-Jun-13,2.79,94.99
30-Jun-13,2.98,96.61
1-Jul-13,2.95,88.05
2-Jul-13,2.83,90.13
3-Jul-13,2.62,77.53
4-Jul-13,2.73,80.53
5-Jul-13,2.43,68.43
6-Jul-13,2.52,70.28
7-Jul-13,2.66,74.56
8-Jul-13,2.61,76.52
9-Jul-13,2.61,76.69
10-Jul-13,2.81,86.76
11-Jul-13,2.73,88.98
12-Jul-13,2.79,93.59
13-Jul-13,2.9,98.13
14-Jul-13,2.91,94.69
15-Jul-13,2.98,98.4
16-Jul-13,3.1,97.45
17-Jul-13,3.15,98.5
18-Jul-13,2.89,90.58
19-Jul-13,2.96,92.17
20-Jul-13,2.86,89.39
21-Jul-13,2.92,90.76
22-Jul-13,2.89,91.61
23-Jul-13,2.99,95.56
24-Jul-13,2.94,94.51
25-Jul-13,2.97,96.9
26-Jul-13,2.9,96.02
27-Jul-13,2.88,94.12
28-Jul-13,2.98,99.76
29-Jul-13,2.96,101.2
30-Jul-13,2.99,107.99
31-Jul-13,2.87,106.09
1-Aug-13,2.91,104
2-Aug-13,2.84,104.5
3-Aug-13,2.96,104
4-Aug-13,3.01,105.14
5-Aug-13,2.83,106.22
6-Aug-13,2.82,106.75
7-Aug-13,2.76,106.75
8-Aug-13,2.7,103
9-Aug-13,2.68,102.8
10-Aug-13,2.56,103
11-Aug-13,2.69,105
12-Aug-13,2.65,106.64
13-Aug-13,2.74,109
14-Aug-13,2.73,112.56
15-Aug-13,2.76,109.99
16-Aug-13,2.72,108.99
17-Aug-13,2.82,113.5
18-Aug-13,2.8,113.5
19-Aug-13,2.82,119
20-Aug-13,2.78,121.2
21-Aug-13,2.7,123.3
22-Aug-13,2.75,121.15
23-Aug-13,2.72,118.5
24-Aug-13,2.69,120.05
25-Aug-13,2.59,122.11
26-Aug-13,2.57,120.06
27-Aug-13,2.57,126.5
28-Aug-13,2.52,122.62
29-Aug-13,2.55,122.39
30-Aug-13,2.66,133.49
31-Aug-13,2.58,135.35
1-Sep-13,2.58,138.34
2-Sep-13,2.56,135.85
3-Sep-13,2.6,136.77
4-Sep-13,2.81,126.74
5-Sep-13,2.75,126.43
6-Sep-13,2.69,119.15
7-Sep-13,2.71,124.15
8-Sep-13,2.73,121.66
9-Sep-13,2.73,127.11
10-Sep-13,2.64,125.91
11-Sep-13,2.72,135.25
12-Sep-13,2.7,133.13
13-Sep-13,2.67,134.98
14-Sep-13,2.54,129.22
15-Sep-13,2.64,130.37
16-Sep-13,2.63,131.72
17-Sep-13,2.6,131.66
18-Sep-13,2.56,131.47
19-Sep-13,2.62,129.65
20-Sep-13,2.48,127.04
21-Sep-13,2.51,127.43
22-Sep-13,2.53,129.12
23-Sep-13,2.47,125.95
24-Sep-13,2.47,127.25
25-Sep-13,2.37,128.22
26-Sep-13,2.39,128.38
27-Sep-13,2.4,133.78
28-Sep-13,2.25,134.78
29-Sep-13,2.3,137.34
30-Sep-13,2.35,133
1-Oct-13,2.42,132.18
2-Oct-13,1.97,114.13
3-Oct-13,2.17,123.63
4-Oct-13,2.2,129.01
5-Oct-13,2.15,128.55
6-Oct-13,2.17,129
7-Oct-13,2.1,126.94
8-Oct-13,1.98,126
9-Oct-13,1.92,130.69
10-Oct-13,2.03,130.59
11-Oct-13,2.07,130.9
12-Oct-13,2.12,135.19
13-Oct-13,2.13,138.13
14-Oct-13,2.05,140.52
15-Oct-13,1.96,145.24
16-Oct-13,1.92,142.55
17-Oct-13,1.91,146.25
18-Oct-13,1.9,155.96
19-Oct-13,1.88,172.42
20-Oct-13,1.93,174.61
21-Oct-13,1.82,182.21
22-Oct-13,1.7,193.76
23-Oct-13,2.05,213.62
24-Oct-13,2.27,198.23
25-Oct-13,2.18,186.69
26-Oct-13,2.21,177.32
27-Oct-13,2.13,196.44
28-Oct-13,2.18,198.55
29-Oct-13,2.13,204.39
30-Oct-13,2.29,199.97
31-Oct-13,2.36,204
1-Nov-13,2.45,206.18
2-Nov-13,2.7,206.22
3-Nov-13,2.88,215.05
4-Nov-13,3.08,229.1
5-Nov-13,3.04,245.24
6-Nov-13,3.39,262.5
7-Nov-13,4.39,296.41
